medium;brand;date;time;operator;channel;campaign_name;position_in_break;indexed_gross_rating_point;spotlength;program_before;program_after;program_cat_before;program_cat_after;commercialdescript;flight_description;flight_startdate;flight_enddate;product_type;;pt_tag_on_1;pt_tag_on_2
TV;NL;11/11/2023;8:38:00 PM;Ster;NPO2;TV-NL-laptops-2023-45;Before Last Position;14.71670587;15 + 10;blauw bloed;sterren op het doek;overige non fictie;overige non fictie;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;11/11/2023;10:44:00 PM;Ster;NPO2;TV-NL-laptops-2023-45;Second Position;8.596985777;15 + 10;stand van nederland generatie next;handelser vid vatten;non fictie;buitenlandse fictie;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;11/11/2023;9:19:00 PM;Ster;NPO1;TV-NL-laptops-2023-45;First Position;38.42685674;15 + 10;connection;even tot hier;amusement;cabaret & satire;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;11/11/2023;10:50:00 PM;Ster;NPO3;TV-NL-laptops-2023-45;Second Position;2.518176267;15 + 10;dna;nacht van de popmuziek;nederlandse fictie;populaire muziek & dans;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;11/11/2023;11:05:00 PM;Ster;NPO1;TV-NL-laptops-2023-45;Second Position;27.88775904;15 + 10;studio sport eredivisie;studio sport;sportinformatie;sportinformatie;Coolblue_NL_wk45_black_friday_laptops_Snelle_beeld + Coolblue_NL_wk45_black_friday_laptops_Intel_Snelle;Coolblue_2023_11_Black Friday wk 45-47;11/10/2023 0:00:00;11/23/2023 0:00:00;laptops;;laptops;
TV;NL;12/9/2023;7:54:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;First Position;17.53119106;15 + 10;knoop en de leeuw;journaal 20 uur;non fictie;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/9/2023;12:00:00 AM;Ster;NPO3;TV-NL-laptops-2023-49;Any Other Position;0.8139885947;15 + 10;podium zwart;met mes;non fictie;nederlands drama;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/8/2023;6:29:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;Any Other Position;6.674670118;15 + 10;journaal regio;regioned;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/8/2023;7:21:00 PM;Ster;NPO3;TV-NL-laptops-2023-49;Second Position;4.360221669;15 + 10;jeugdjournaal avond;schaatsen wb;kinderen (t/m + 12 jaar);sportreportage;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/5/2023;7:51:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;First Position;30.57359508;15 + 10;khalid en sophie;journaal 20 uur;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/4/2023;11:44:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;Second Position;1.477542619;15 + 10;2doc kort;kruispunt;non fictie;overige non fictie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/9/2023;6:45:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;First Position;35.61731794;15 + 10;eenvandaag;sportjournaal;nieuws & actualiteiten;sportinformatie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/10/2023;7:40:00 PM;Ster;NPO3;TV-NL-laptops-2023-49;Before Last Position;2.963733342;15 + 10;mensenbieb;3 op reis;kinderen (t/m + 12 jaar);overige non fictie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/5/2023;7:09:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;Before Last Position;16.02061995;15 + 10;noord zuid oost west;binnenstebuiten;non fictie;non fictie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/6/2023;6:58:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;First Position;40.33682222;15 + 10;sportjournaal;khalid en sophie;sportinformatie;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/6/2023;12:00:00 AM;Ster;NPO1;TV-NL-laptops-2023-49;Last Position;7.4801205;15 + 10;journaal laat;sint en de leeuw;nieuws & actualiteiten;amusement;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/5/2023;7:01:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;Before Last Position;23.52094934;15 + 10;sportjournaal;khalid en sophie;sportinformatie;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/7/2023;11:52:00 PM;Ster;NPO3;TV-NL-laptops-2023-49;Any Other Position;0.7701265222;15 + 10;hoedan;khalid en sophie;overige non fictie;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/4/2023;6:57:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;First Position;36.11755395;15 + 10;sportjournaal;khalid en sophie;sportinformatie;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/6/2023;10:48:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;Any Other Position;2.800540439;15 + 10;dit is de kwestie;focus;non fictie;overige non fictie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/4/2023;11:17:00 PM;Ster;NPO1;TV-NL-laptops-2023-49;Second Position;18.2469762;15 + 10;op1;journaal laat;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/4/2023;11:52:00 PM;Ster;NPO3;TV-NL-laptops-2023-49;Second Position;0.1336558905;15 + 10;plakshot;rundfunk;non fictie;cabaret & satire;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/4/2023;10:16:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;Before Last Position;9.032459153;15 + 10;nieuwsuur;laatste kans;nieuws & actualiteiten;overige non fictie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/5/2023;11:58:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;Any Other Position;0.134012598;15 + 10;nachtzoen;nieuwsuur;non fictie;nieuws & actualiteiten;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/5/2023;8:21:00 PM;Ster;NPO2;TV-NL-laptops-2023-49;First Position;15.80054569;15 + 10;met het mes op tafel;opsporing verzocht;amusement;overige non fictie;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/4/2023;10:19:00 PM;Ster;NPO3;TV-NL-laptops-2023-49;Any Other Position;3.834366242;15 + 10;eigen volk eerst;toren c;overige non fictie;cabaret & satire;Coolblue_NL_wk49_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk49_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/17/2023;6:52:00 PM;Ster;NPO1;TV-NL-laptops-2023-50;First Position;38.96544767;15 + 10;studio sport;studio sport eredivisie;sportinformatie;sportinformatie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/13/2023;11:53:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Last Position;1.032034196;15 + 10;2doc kort;sign of the times;non fictie;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/14/2023;7:58:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Before Last Position;22.69836885;15 + 10;binnenstebuiten;met het mes op tafel;non fictie;amusement;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/13/2023;7:53:00 PM;Ster;NPO1;TV-NL-laptops-2023-50;First Position;32.74073821;15 + 10;khalid en sophie;journaal 20 uur;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/13/2023;6:28:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Last Position;7.850135419;15 + 10;journaal regio;noord zuid oost west;nieuws & actualiteiten;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/17/2023;10:38:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Any Other Position;5.064816291;15 + 10;pointer;wat houdt ons tegen;non fictie;overige non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/16/2023;7:12:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Any Other Position;12.54411637;15 + 10;zin in morgen;kassa;overige non fictie;overige non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/15/2023;12:04:00 AM;Ster;NPO2;TV-NL-laptops-2023-50;Last Position;0.8262629595;15 + 10;2doc;sign of the times;non fictie;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/15/2023;10:27:00 PM;Ster;NPO3;TV-NL-laptops-2023-50;Before Last Position;1.957253644;15 + 10;serious christmas;op de matrix;amusement;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/14/2023;10:12:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Any Other Position;9.789915762;15 + 10;nieuwsuur;2doc;nieuws & actualiteiten;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/12/2023;7:02:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;First Position;10.07087969;15 + 10;noord zuid oost west;binnenstebuiten;non fictie;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/11/2023;6:59:00 PM;Ster;NPO1;TV-NL-laptops-2023-50;First Position;33.88517966;15 + 10;sportjournaal;khalid en sophie;sportinformatie;nieuws & actualiteiten;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/15/2023;7:48:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Any Other Position;14.81536551;15 + 10;binnenstebuiten;meldpunt;non fictie;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/17/2023;11:29:00 PM;Ster;NPO1;TV-NL-laptops-2023-50;Any Other Position;8.932496047;15 + 10;journaal laat;connection;nieuws & actualiteiten;amusement;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/13/2023;11:33:00 PM;Ster;NPO3;TV-NL-laptops-2023-50;Before Last Position;0.740188758;15 + 10;blozende oortjes;khalid en sophie;kinderen (t/m + 12 jaar);nieuws & actualiteiten;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/15/2023;11:00:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Last Position;3.247205963;15 + 10;argos;carmen curlers;non fictie;buitenlandse fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/14/2023;11:17:00 PM;Ster;NPO3;TV-NL-laptops-2023-50;Last Position;0.006916911105;15 + 10;op de matrix;do not hesitate;non fictie;buitenlandse fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/15/2023;6:25:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Any Other Position;7.445710919;15 + 10;journaal regio;regioned;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/13/2023;9:26:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Any Other Position;4.655731759;15 + 10;waarom gaan we niet vaker;nieuwsuur;non fictie;nieuws & actualiteiten;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/17/2023;7:22:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;Last Position;3.834677243;15 + 10;podium klassiek;eus boekenclub;overige muziek & dans;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/16/2023;7:00:00 PM;Ster;NPO1;TV-NL-laptops-2023-50;First Position;37.38689525;15 + 10;sportjournaal;knoop en de leeuw;sportinformatie;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/11/2023;11:26:00 PM;Ster;NPO3;TV-NL-laptops-2023-50;Any Other Position;0.5028536565;15 + 10;op de matrix;plakshot;non fictie;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/14/2023;11:50:00 PM;Ster;NPO1;TV-NL-laptops-2023-50;Before Last Position;9.835668275;15 + 10;journaal laat;op1;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/14/2023;7:20:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;First Position;14.60813226;15 + 10;jeugdjournaal avond;binnenstebuiten;kinderen (t/m + 12 jaar);non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/15/2023;7:52:00 PM;Ster;NPO1;TV-NL-laptops-2023-50;First Position;28.05358069;15 + 10;khalid en sophie;journaal 20 uur;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/12/2023;7:52:00 PM;Ster;NPO1;TV-NL-laptops-2023-50;First Position;24.04609322;15 + 10;khalid en sophie;journaal 20 uur;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/12/2023;11:31:00 PM;Ster;NPO2;TV-NL-laptops-2023-50;First Position;1.334622068;15 + 10;uur van de wolf;sign of the times;overige non fictie;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/15/2023;7:20:00 PM;Ster;NPO3;TV-NL-laptops-2023-50;First Position;7.586572945;15 + 10;jeugdjournaal avond;first dates;kinderen (t/m + 12 jaar);overige non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/12/2023;10:34:00 PM;Ster;NPO3;TV-NL-laptops-2023-50;Second Position;2.076123924;15 + 10;serious christmas;op de matrix;amusement;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;12/17/2023;11:16:00 PM;Ster;NPO3;TV-NL-laptops-2023-50;Any Other Position;0.8737601277;15 + 10;nadia;plakshot;non fictie;non fictie;Coolblue_NL_wk50_laptops_Snelle_beelden_hoofdspot_ + Coolblue_NL_wk50_laptops_Snelle_beelden_tagon_10se;Coolblue_2023_12_Laptops wk 49-50;12/4/2023 0:00:00;12/17/2023 0:00:00;laptops;;laptops;
TV;NL;9/14/2023;8:19:00 PM;Ster;NPO3;TV-NL-televisies-2023-37;Before Last Position;1.964437991;15;first dates;all stars en zonen;overige non fictie;nederlands drama;Coolblue_NL_wk37_televisies_Snelle_beelden_hoofdsp;Coolblue_2023_09_Televisies wk 37-38;9/11/2023 0:00:00;9/24/2023 0:00:00;televisies;;;
TV;NL;9/15/2023;7:02:00 PM;Ster;NPO1;TV-NL-televisies-2023-37;Last Position;20.01032969;15;sportjournaal;khalid en sophie;sportinformatie;nieuws & actualiteiten;Coolblue_NL_wk37_televisies_Snelle_beelden_hoofdsp;Coolblue_2023_09_Televisies wk 37-38;9/11/2023 0:00:00;9/24/2023 0:00:00;televisies;;;
TV;NL;9/11/2023;11:14:00 PM;Ster;NPO2;TV-NL-televisies-2023-37;Second Position;2.741027297;15;in de tbs;2doc;overige non fictie;non fictie;Coolblue_NL_wk37_televisies_Snelle_beelden_hoofdsp;Coolblue_2023_09_Televisies wk 37-38;9/11/2023 0:00:00;9/24/2023 0:00:00;televisies;;;
TV;NL;9/17/2023;10:05:00 PM;Ster;NPO2;TV-NL-televisies-2023-37;Second Position;13.83872375;15;nieuwsuur;pointer;nieuws & actualiteiten;non fictie;Coolblue_NL_wk37_televisies_Snelle_beelden_hoofdsp;Coolblue_2023_09_Televisies wk 37-38;9/11/2023 0:00:00;9/24/2023 0:00:00;televisies;;;
TV;NL;9/11/2023;7:00:00 PM;Ster;NPO2;TV-NL-televisies-2023-37;Second Position;10.74021257;15;expeditie nederland;binnenstebuiten;non fictie;non fictie;Coolblue_NL_wk37_televisies_Snelle_beelden_hoofdsp;Coolblue_2023_09_Televisies wk 37-38;9/11/2023 0:00:00;9/24/2023 0:00:00;televisies;;;
TV;NL;9/16/2023;11:27:00 PM;Ster;NPO1;TV-NL-televisies-2023-37;Before Last Position;12.46561948;15;studio sport eredivisie;studio sport;sportinformatie;sportinformatie;Coolblue_NL_wk37_televisies_Snelle_beelden_hoofdsp;Coolblue_2023_09_Televisies wk 37-38;9/11/2023 0:00:00;9/24/2023 0:00:00;televisies;;;
TV;NL;9/11/2023;11:45:00 PM;Ster;NPO1;TV-NL-televisies-2023-37;First Position;15.76892449;15;op1;journaal laat;nieuws & actualiteiten;nieuws & actualiteiten;Coolblue_NL_wk37_televisies_Snelle_beelden_hoofdsp;Coolblue_2023_09_Televisies wk 37-38;9/11/2023 0:00:00;9/24/2023 0:00:00;televisies;;;
TV;NL;9/16/2023;9:22:00 PM;Ster;NPO2;TV-NL-televisies-2023-37;First Position;7.536691604;15;langs de ijssel;nieuwsuur;non fictie;nieuws & actualiteiten;Coolblue_NL_wk37_televisies_Snelle_beelden_hoofdsp;Coolblue_2023_09_Televisies wk 37-38;9/11/2023 0:00:00;9/24/2023 0:00:00;televisies;;;
